source,target,tgt_lng
Analog Circuit Design Volume 3,模拟电路设计 第三卷,
The Design Note Collection,设计笔记集,
Newnes,纽尼斯,
Elsevier,爱思唯尔,
"Waltham, MA",马萨诸塞州沃尔瑟姆,
Oxford,牛津,
Kidlington,基德灵顿,
First edition 2015,第一版，2015年,
Linear Technology Corporation,凌力尔特公司,
"Copyright, Designs and Patents Act 1988",1988年版权、设计与专利法,
Library of Congress,美国国会图书馆,
British Library,大英图书馆,
Bob Dobkin,鲍勃·多布金,
John Hamburger,约翰·汉堡,
AMSTERDAM,阿姆斯特丹,
BOSTON,波士顿,
HEIDELBERG,海德堡,
LONDON,伦敦,
NEW YORK,纽约,
PARIS,巴黎,
SAN DIEGO,圣地亚哥,
SAN FRANCISCO,旧金山,
SINGAPORE,新加坡,
SYDNEY,悉尼,
TOKYO,东京,
DC/DC conversion,直流/直流转换,
telecom/automotive supplies,电信/汽车电源,
Monolithic step-down regulator,单片降压稳压器,
automotive environments,汽车环境,
quiescent current,静态电流,
integrated current sensing,集成电流检测,
High resolution video solutions,高分辨率视频解决方案,
HDMI compliance tests,HDMI合规性测试,
Video difference amplifier,视频差分放大器,
low voltage applications,低压应用,
Video signal distribution,视频信号分配,
low supply voltage amplifiers,低电源电压放大器,
RGB video multiplexer,RGB视频多路复用器,
video cable equalizer,视频电缆均衡器,
video crosspoint,视频交叉点开关,
crosstalk rejection,串扰抑制,
color video,彩色视频,
twisted-pair,双绞线,
differential input video amplifiers,差分输入视频放大器,
Data Conversion: Analog-to-Digital,数据转换：模数转换,
SAR ADC,逐次逼近型模数转换器,
IF signal chain design,中频信号链设计,
microcontroller ADC,微控制器模数转换器,
analog-to-digital converter,模数转换器,
rail-to-rail,轨到轨,
high input impedance ADC,高输入阻抗模数转换器,
Easy Drive ADCs,易驱动模数转换器,
delta-sigma analog-to-digital converters,增量-西格玛模数转换器,
No Latency ΔΣ 24-bit ADCs,无延迟ΔΣ 24位模数转换器,
differential to single-ended converter,差分转单端转换器,
MSOP,MSOP,
SINAD,信号与噪声加失真比,
THD,总谐波失真,
SFDR,无杂散动态范围,
Li-Ion cell,锂离子电池,
36 V 2 A buck regulator,36 V 2 A 降压稳压器,
power Schottky,功率肖特基二极管,
Triple output 3-phase controller,三路输出三相控制器,
high density power converters,高密度电源转换器,
Dual monolithic step-down switching regulator,双单片降压开关稳压器,
EMI,电磁干扰,
VOUT,输出电压,
dual step-down converter,双路降压转换器,
VOUT tracking,输出电压跟踪,
VOUT sequencing,输出电压时序控制,
Tiny monolithic step-down regulators,微型单片降压稳压器,
wide input range,宽输入电压范围,
Cascadable 7A point-of-load monolithic buck converter,可级联7 A负载点单片降压转换器,
High voltage current mode step-down converter,高压电流模式降压转换器,
low power standby capability,低功耗待机功能,
Low EMI synchronous DC/DC step-down controllers,低电磁干扰同步DC/DC降压控制器,
programmable output tracking,可编程输出电压跟踪,
ThinSOT micropower buck regulator,ThinSOT微功耗降压稳压器,
low output ripple,低输出纹波,
Tiny versatile buck regulators,微型多功能降压稳压器,
AMD Opteron,AMD Opteron,
Athlon 64,Athlon 64,
High current step-down controller,大电流降压控制器,
dual polarity output converter,双极性输出转换器,
Dual output supply,双路输出电源,
FPGAs,现场可编程门阵列,
"3 A, 2 MHz monolithic synchronous step-down regulator",3 A、2 MHz单片同步降压稳压器,
DDR memory termination,DDR存储器端接,
60 V/3 A step-down DC/DC converter,60 V/3 A降压DC/DC转换器,
Monolithic synchronous step-down regulators,单片同步降压稳压器,
ThinSOT package,ThinSOT封装,
XENPAK 10 Gb/s Ethernet transceivers,XENPAK 10 Gb/s以太网收发器,
FireWire peripherals,FireWire外设,
3.3 V backplane,3.3 V背板,
PolyPhase DC/DC converter,多相DC/DC转换器,
12 V converter,12 V转换器,
42 A DC/DC converter,42 A DC/DC转换器,
High efficiency PolyPhase converter,高效率多相转换器,
High current dual DC/DC converter,大电流双路DC/DC转换器,
surface mount DC/DC converter,表面贴装DC/DC转换器,
100 A,100 A,
"high voltage, low noise buck switching regulator",高压低噪声降压开关稳压器,
30 A low profile PolyPhase converter,30 A低剖面多相转换器,
2-phase switching regulator,两相开关稳压器,
