source,target,tgt_lng
Digital Fundamentals,数字基础,
Thomas L. Floyd,Thomas L. Floyd,
British Library,大英图书馆,
"Aptara®, Inc.","Aptara®, Inc.",
Times Roman,Times Roman,
Courier Kendallville,Courier Kendallville,
The United States of America,美国,
Thermometer,温度计,
Sphygmomanometer,血压计,
Photometer,光度计,
OR gate,或门,
Subtractor,减法器,
Multiplier,乘数,
Multiplexer,多路复用器,
Comparator,比较器,
SPLD,SPLD,
CPLD,复杂可编程逻辑器件,
HDL,硬件描述语言,
FPGA,FPGA,
GAL,GAL,
Place-and-route,布局布线,
bitstream,比特流,
large scale integration,大规模集成电路,
Troubleshooting,故障排除,
signal-tracing method,信号追踪法,
half-splitting,分半法,
Boston,波士顿,
Columbus,哥伦布,
Indianapolis,印第安纳波利斯,
New York,纽约,
San Francisco,旧金山,
Hoboken,霍博肯,
Amsterdam,阿姆斯特丹,
Cape Town,开普敦,
Dubai,迪拜,
London,伦敦,
Madrid,马德里,
Milan,米兰,
Munich,慕尼黑,
Paris,巴黎,
Montreal,蒙特利尔,
Toronto,多伦多,
Delhi,德里,
Mexico City,墨西哥城,
São Paulo,圣保罗,
Sydney,悉尼,
Hong Kong,香港,
Seoul,首尔,
Singapore,新加坡,
Taipei,台北,
Tokyo,东京,
Eleventh Edition,第十一版,
Global Edition,全球版,
Shift Registers,移位寄存器,
ANSI/IEEE Standard 91-1984,ANSI/IEEE 标准 91-1984,
74HC164,74HC164,
74HC194,74HC194,
serial in/parallel out,串行输入/并行输出,
clear (CLR),清零 (CLR),
RESET,复位,
clock (C1),时钟 (C1),
asynchronous,异步,
synchronous,同步,
active-LOW,低电平有效,
mode inputs,模式输入,
ring counter,环形计数器,
priority encoders,优先编码器,
eight-line-to-three-line encoders,八线转三线编码器,
parallel in/parallel out register,并行输入/并行输出寄存器,
keyboard encoder,键盘编码器,
ROW/COLUMN code,行/列代码,
key code,键码,
contact bounce,触点抖动,
Lindsey Prudhomme Gill,Lindsey Prudhomme Gill,
Maren Beckman,Maren Beckman,
Rex Davidson,Rex Davidson,
Nancy Kesterson,Nancy Kesterson,
Laura Weaver,Laura Weaver,
JoEllen Gohr,JoEllen Gohr,
Laura Dent,Laura Dent,
Karthik Subramanian,Karthik Subramanian,
K.K. Neelakantan,K.K. Neelakantan,
Trudy Kimber,Trudy Kimber,
David Gesell,David Gesell,
Stacey Martinez,Stacey Martinez,
Les Roberts,Les Roberts,
Deidra M. Skahill,Deidra M. Skahill,
Noelle Chun,Noelle Chun,
April Cleland,April Cleland,
Vikram Kumar,Vikram Kumar,
Andrea Nix,Andrea Nix,
Diane Y. Ernsberger,Diane Y. Ernsberger,
Lumina Datamatics Ltd.,Lumina Datamatics Ltd.,
echo3005/Shutterstock,echo3005/Shutterstock,
"Sherrill Redd/iEnergizer Aptara®, Inc.","Sherrill Redd/iEnergizer Aptara®, Inc.",
Pearson Education Limited,培生教育出版有限公司,
Edinburgh Gate,爱丁堡门,
Harlow,哈洛,
Essex,埃塞克斯郡,
CM20 2JE,CM20 2JE,
England,英格兰,
World Wide Web,万维网,
www.pearsonglobaleditions.com,www.pearsonglobaleditions.com,
"Copyright, Designs and Patents Act 1988",1988年版权、设计和专利法案,
ISBN 978-0-13-273796-8,ISBN 978-0-13-273796-8,
Copyright Licensing Agency Ltd,版权许可局有限公司,
Saffron House,藏红花大厦,
6–10 Kirby Street,6–10柯比街,
London EC1N 8TS,伦敦EC1N 8TS,
Computer System,计算机系统,
Central Processing Unit,中央处理器,
CPU,中央处理器,
arithmetic logic unit,算术逻辑单元,
instruction decoder,指令解码器,
timing and control unit,时序与控制单元,
register set,寄存器组,
microprocessor,微处理器,
multicore processor,多核处理器,
Memory devices,存储器设备,
Storage devices,存储设备,
system buses,系统总线,
peripheral interface,外设接口,
Main Memory,主存储器,
program stack,程序堆栈,
operating system,操作系统,
Intel 8080,Intel 8080,
Motorola 6800,Motorola 6800,
InMOS 6502,InMOS 6502,
address buses,地址总线,
kilobytes,千字节,
megabyte,兆字节,
gigabytes,千兆字节,
graphical user interface,图形用户界面,
GUI,GUI,
application programs,应用程序,
dynamic RAM,动态随机存取存储器,
DRAM,动态随机存取存储器,
negative-OR,负或,
NAND gate,与非门,
netlist,网表,
nibble,半字节,
NMOS,NMOS,
node,节点,
noise immunity,抗噪能力,
noise margin,噪声容限,
nonvolatile,非易失性,
NOR gate,或非门,
NOT,非,
NRZ,NRZ,
numeric,数值的,
Nyquist frequency,奈奎斯特频率,
object program,目标程序,
octal,八进制,
odd parity,奇校验,
offset address,偏移地址,
OLMC,输出逻辑宏单元,
one-shot,单稳态触发器,
op-code,操作码,
open-collector,集电极开路,
operand,操作数,
operational amplifier,运算放大器,
op-amp,运算放大器,
MMACS,MMACS,
MMU,内存管理单元,
mnemonic,助记符,
modem,调制解调器,
modulation,调制,
modulus,模数,
monostable,单稳态,
monotonic,单调性,
Moore state machine,摩尔状态机,
MOS,金属氧化物半导体,
MOSFET,MOSFET,
most significant bit,最高有效位,
MSB,最高有效位,
MSI,MSI,
multimode,多模,
mux,多路复用器,
multiplicand,被乘数,
multiprocessing,多处理,
multitasking,多任务处理,
multitenancy,多租户,
multithreading,多线程,
multivibrator,多谐振荡器,
negative-AND,负与,
acceptor,接收器,
access time,访问时间,
addend,加数,
adder,加法器,
address,地址,
address bus,地址总线,
adjacency,相邻性,
aliasing,混叠,
alphanumeric,字母数字的,
ALU,算术逻辑单元,
amplitude,幅度,
analog,模拟,
analog-to-digital conversion,模数转换,
analog-to-digital converter,模数转换器,
AND,与,
AND array,与阵列,
AND gate,与门,
ANSI,ANSI,
antifuse,反熔丝,
architecture,架构,
array,阵列,
ASCII,ASCII,
ASK,幅移键控,
assembler,汇编器,
assembly language,汇编语言,
associative law,结合律,
astable,无稳态的,
asynchronous counter,异步计数器,
augend,被加数,
bandwidth,带宽,
bank,存储体,
base,基极,
base address,基地址,
baud,波特,
BCD,BCD,
BEDO DRAM,BEDO DRAM,
BiCMOS,BiCMOS,
bidirectional,双向的,
binary,二进制,
BIOS,BIOS,
bipolar,双极型,
bistable,双稳态,
bit,位,
bit rate,比特率,
bit time,比特时间,
BJT,双极结型晶体管,
Blue-ray,蓝光,
Boolean addition,布尔加法,
DSP,数字信号处理器,
floating-point number,浮点数,
fall time,下降时间,
fan-out,扇出,
FDM,频分复用,
feedback,反馈,
FET,场效应晶体管,
fetch,取指,
FIFO,先进先出,
Firewire,Firewire,
IEEE-1394,IEEE-1394,
firmware,固件,
fixed-function logic,固定功能逻辑,
flag,标志位,
flash,闪存,
flash ADC,闪速ADC,
flash memory,闪存,
flip-flop,触发器,
forward bias,正向偏置,
LUT,查找表,
FPM DRAM,快速页模式动态随机存取存储器,
frequency,频率,
hertz,赫兹,
FSK,频移键控,
dynamic memory,动态存储器,
ECL,ECL,
E2CMOS,E2CMOS,
edge-triggered flip-flop,边沿触发触发器,
EDIF,电子设计交换格式,
EDO DRAM,EDO DRAM,
EEPROM,EEPROM,
8 mm,8毫米磁带,
elasticity,弹性,
cloud storage system,云存储系统,
electromagnetic waves,电磁波,
embedded system,嵌入式系统,
EMI,电磁干扰,
emitter,发射极,
enable,使能,
encoder,编码器,
entity,实体,
VHDL,VHDL,
EPROM,EPROM,
error detection,错误检测,
even parity,偶校验,
exception,异常,
exclusive-NOR (XNOR) gate,同或门,
exclusive-OR (XOR),异或运算,
exclusive-OR (XOR) gate,异或门,
HPIB,惠普接口总线,
GPIB,GPIB,
hysteresis,迟滞,
Schmitt trigger,施密特触发器,
IEEE,IEEE,
IEEE 488 bus,IEEE 488总线,
IEEE 1394,IEEE 1394,
I2L,集成注入逻辑,
implementation,实现,
increment,递增,
inhibit,禁止,
input,输入,
input/output (I/O),输入/输出,
instruction,指令,
in-system programming (ISP),在线系统编程,
integer,整数,
integrated circuit (IC),集成电路,
intellectual property (IP),知识产权,
interfacing,接口连接,
interrupt,中断,
inversion,反相,
inverter,反相器,
I/O port,输入/输出端口,
IP,指令指针,
ISA bus,工业标准架构总线,
full-adder,全加器,
full-duplex,全双工,
functional simulation,功能仿真,
fuse,熔丝,
PAL,PAL,
E2 CMOS,E2 CMOS,
gate,门电路,
glitch,毛刺,
graphic (schematic) entry,图形（原理图）输入,
Gray code,格雷码,
half-adder,半加器,
half-duplex,半双工,
Hamming code,汉明码,
handshaking,握手,
hard core,硬核,
hard disk,硬盘,
hardware,硬件,
hexadecimal,十六进制,
high-level language,高级语言,
high-Z,高阻态,
hit rate,命中率,
hold time,保持时间,
demultiplexer,解复用器,
dependency notation,依赖符号,
difference,差值,
differential operation,差分操作,
digit,数字,
digital,数字的,
digital signal processor,数字信号处理器,
digital-to-analog conversion,数模转换,
digital-to-analog converter,数模转换器,
DIMM,DIMM,
diode,二极管,
DIP,DIP,
distributive law,分配律,
dividend,被除数,
divisor,除数,
DLT,DLT,
DMA,DMA,
domain,域,
Don’t care,无关项,
downloading,下载,
drain,漏极,
DSP core,数字信号处理器核心,
DTE,DTE,
duty cycle,占空比,
DVD-ROM,DVD-ROM,
counter,计数器,
cross-assembler,交叉汇编器,
crosstalk,串扰,
current sinking,电流吸收,
current sourcing,电流输出,
cyclic redundancy check,循环冗余校验,
data,数据,
data bus,数据总线,
data center,数据中心,
data selector,数据选择器,
data sheet,数据手册,
DCE,DCE,
DDR,DDR,
DDR SDRAM,DDR SDRAM,
decade,十进制,
decade counter,十进制计数器,
decimal,十进制,
decode,解码,
decoder,解码器,
decrement,递减,
delta modulation,增量调制,
design flow,设计流程,
D flip-flop,D触发器,
SAS,SAS,
Serial Attached SCSI,串行连接SCSI,
Schmitt triggers,施密特触发器,
Schottky TTL,肖特基TTL,
SCSI,SCSI,
Seat belt alarm system,安全带报警系统,
Security system,安全系统,
Seek time,寻道时间,
Semiconductor memories,半导体存储器,
Sequential logic,时序逻辑,
Mealy state machine,米利状态机,
Serial buses,串行总线,
Serial data,串行数据,
Serial data transfer,串行数据传输,
Serial in/parallel out shift registers,串入并出移位寄存器,
PLD,可编程逻辑器件,
Serial in/serial out shift registers,串入串出移位寄存器,
Serial-to-parallel data converter,串并数据转换器,
Serial-to-peripheral interface,串行外设接口,
SPI bus,SPI总线,
Servers,服务器,
SET state,置位状态,
Settling time,建立时间,
DAC,数模转换器,
Set-up time,建立时间,
Seven-segment displays,七段显示器,
74 series,74系列,
"Shannon, Claude","香农, 克劳德",
Shared bus,共享总线,
Shared expanders,共享扩展器,
Johnson counter,约翰逊计数器,
register,寄存器,
register array,寄存器阵列,
macrocell,宏单元,
relocatable code,可重定位代码,
remainder,余数,
resolution,分辨率,
reverse bias,反向偏置,
pn junction,PN结,
ripple carry,纹波进位,
ripple counter,纹波计数器,
rise time,上升时间,
ROM,只读存储器,
mask-ROM,掩模只读存储器,
RS-232,RS-232,
EIA-232,EIA-232,
USB,USB,
RS-422,RS-422,
RS-423,RS-423,
RS-485,RS-485,
RZ,归零,
sampling,采样,
sampling rate,采样率,
ADC,模数转换器,
oscilloscope,示波器,
scalability,可扩展性,
schematic entry,原理图输入,
Schottky,肖特基,
transistor-transistor logic,晶体管-晶体管逻辑,
PROM,可编程只读存储器,
OR array,或阵列,
propagation delay time,传播延迟时间,
protocol,协议,
pseudo-operation,伪操作,
PSK,相移键控,
Phase shift keying,相移键控,
pull-up resistor,上拉电阻,
dc supply voltage,直流电源电压,
pulse,脉冲,
pulse width,脉冲宽度,
PWM,脉宽调制,
Pulse width modulation,脉宽调制,
QAM,正交幅度调制,
Quadrature amplitude modulation,正交幅度调制,
QIC,QIC,
Quarter-inch cassette,四分之一英寸盒式磁带,
quantization,量化,
queue,队列,
quotient,商,
race,竞争,
logic network,逻辑网络,
RAM,RAM,
volatile read/write semiconductor memory,易失性读写半导体存储器,
rank,秩,
memory module,内存模块,
read,读取,
real mode,实模式,
