source,target,tgt_lng
BJT,双极结型晶体管,
JFET,结型场效应晶体管,
Miller effect,米勒效应,
Field-Effect Transistors,场效应晶体管,
MOSFET,MOSFET,
FET Biasing,场效应管偏置,
Fixed-bias,固定偏置,
self-bias,自偏置,
voltage-divider,分压器,
common-gate configuration,共栅极配置,
enhancement-type MOSFET,增强型MOSFET,
feedback bias,反馈偏置,
universal curve,通用曲线,
FET Amplifiers,场效应管放大器,
source follower,源极跟随器,
drain-feedback configuration,漏极反馈配置,
Operational Amplifiers,运算放大器,
CMRR,共模抑制比,
constant-gain multiplier,恒定增益乘法器,
noninverting amplifier,同相放大器,
unity follower,单位跟随器,
summing amplifier,求和放大器,
integrator,积分器,
Op-Amp Applications,运算放大器应用,
voltage summing,电压求和,
high-pass active filter,高通有源滤波器,
low-pass active filter,低通有源滤波器,
Power Amplifiers,功率放大器,
efficiency,效率,
Class A,甲类,
series-fed,串联馈电,
transformer-coupled,变压器耦合,
Class B,乙类,
push-pull,推挽,
transformer relations,变压器关系,
class B power amplifier,乙类功率放大器,
heat-sink,散热器,
Electronic Devices and Circuit Theory,电子器件与电路理论,
Robert L. Boylestad,罗伯特·L·博伊尔斯塔德,
Louis Nashelsky,路易斯·纳什尔斯基,
Boston,波士顿,
Columbus,哥伦布,
Indianapolis,印第安纳波利斯,
New York,纽约,
San Francisco,旧金山,
Upper Saddle River,上萨德尔里弗,
Amsterdam,阿姆斯特丹,
Cape Town,开普敦,
Dubai,迪拜,
London,伦敦,
Madrid,马德里,
Milan,米兰,
Munich,慕尼黑,
Paris,巴黎,
Montreal,蒙特利尔,
Toronto,多伦多,
Delhi,德里,
Mexico City,墨西哥城,
São Paulo,圣保罗,
Sydney,悉尼,
Hong Kong,香港,
Seoul,首尔,
Singapore,新加坡,
Taipei,台北,
Tokyo,东京,
Varactor diode,变容二极管,
photodiode,光电二极管,
Diac,双向触发二极管,
UJT,单结晶体管,
phototransistor,光电晶体管,
PUT,PUT,
Linear-Digital ICs,线性-数字集成电路,
Ladder network,梯形网络,
555 oscillator,555振荡器,
555 monostable,555单稳态,
VCO,压控振荡器,
phase-locked loop,锁相环,
PLL,锁相环,
Feedback and Oscillator Circuits,反馈与振荡电路,
series feedback,串联反馈,
shunt feedback,并联反馈,
voltage feedback,电压反馈,
current feedback,电流反馈,
gain stability,增益稳定性,
oscillator,振荡器,
phase shift,相移,
FET phase shift,场效应管相移,
transistor phase shift,晶体管相移,
Wien bridge,文氏电桥,
tuned,调谐,
Hartley,哈特莱,
Power Supplies (Voltage Regulators),电源（稳压器）,
Filters,滤波器,
RC filter,RC滤波器,
regulators,稳压器,
Vernon R. Anthony,Vernon R. Anthony,
Lindsey Prudhomme,Lindsey Prudhomme,
Dan Trudden,Dan Trudden,
Yvette Schlarman,Yvette Schlarman,
David Gesell,David Gesell,
Harper Coles,Harper Coles,
Alicia Wozniak,Alicia Wozniak,
Les Roberts,Les Roberts,
JoEllen Gohr,JoEllen Gohr,
Rex Davidson,Rex Davidson,
Pat Tonneman,Pat Tonneman,
Andrea Nix,Andrea Nix,
Diane Y. Ernsberger,Diane Y. Ernsberger,
Hewlett-Packard Labs,惠普实验室,
Karen Bretz,Karen Bretz,
Kelly Ricci,Kelly Ricci,
"Aptara®, Inc.","Aptara®, Inc.",
Edwards Brothers,Edwards Brothers,
Lehigh/Phoenix Color Hagerstown,Lehigh/Phoenix Color Hagerstown,
Times,Times,
J. Joshua Yang,J. Joshua Yang,
G. Medeiros-Ribeiro,G. Medeiros-Ribeiro,
R. Stan Williams,R. Stan Williams,
"Hewlett-Packard Development Company, L. P.","惠普发展公司, L. P.",
Cadence,Cadence,
The Cadence logo,Cadence 标志,
